idTweeter;fecha;autor;cuenta;seguidores;retweet;textoLimpio;polaridad;subjetivo;geolocalizacion
1089582862607794180;2019-01-27  17:56:12;ELI  VEDDER;CHIICACORTAZAR;1713;491;HRUGEL  AHORA  SI  ESTADIO  MONUMENTAL  BANCOPICHINCHA  VA  REGRESANDO  NIVEL  SIEMPRE  DEBIO  TENER  HERMOSA;0.34;0.42000000000000004;CP
1089581538935742466;2019-01-27  17:50:56;PEDRO  C.;PEDROC1989;675;0;HERMOSO  HTTPS  TCOVZUWZUNV63;0.34;0.42000000000000004;LA  MOLINA,  PERU
1089581329291853828;2019-01-27  17:50:07;CARLOS  JULIO;CARLOSJIMENEZSA;70;0;BANCOPICHINCHA  HICE  PASO  LLEGA  TRAJETA;0.34;0.42000000000000004;GUAYAQUIL-ECUADOR
1089580607024386048;2019-01-27  17:47:14;KEVIN  VERA;KEVIN_VERA;1261;4;BANCOPICHINCHA  EVITA  MULTAS  PAGANDO  TIEMPO  IMPUESTOS  ALCALDIAGYE  PUNTOS  MIVECINO  PUEDES  HACERLO  TAMBIEN;0.34;0.42000000000000004;GUAYAQUIL-  ECUADOR
1089580121978228736;2019-01-27  17:45:19;JONATHAN  ARISTIZABAL;ARISTIZABALJONA;795;1;MAS  SORPRENDIO  VER  SPONSOR  PRINCIPAL  EMPRESA  ECUATORIANA  EQUIPO  EXTRANJERO  BANCOPICHINCHA  ALIANZA  LIMA  NOCHEAMARILLA  NOCHEAMARILLA2019  HTTPS  TCORYBZ58PKBP;0.34;0.42000000000000004;GUAYAQUIL,  ECUADOR
1089579018305880065;2019-01-27  17:40:56;SDK;SOLDADOSDELKITU;11160;5;MENSAJE  BANCOPICHINCHA  NOCHE  AMARILLA  MAS  UNE  SUSCRIBETE  BSC  HTTPS  TCOPO997UQCGI;0.34;0.42000000000000004;
1089578857148104711;2019-01-27  17:40:17;BLANQUIAZUL  24;DESDE_1901;2210;7;C_SALAZARC19  EMPEZARON  CAMBIOS  BANCOPICHINCHA  ESTRENARA  NOCHE  BLANQUIAZUL  ZONA  OCCIDENTE  PALCO  PIC;0.34;0.42000000000000004;LA  VICTORIA,  PERU
1089577941107986433;2019-01-27  17:36:39;CARLOS  SALAZAR;C_SALAZARC19;300;7;EMPEZARON  CAMBIOS  BANCOPICHINCHA  ESTRENARA  NOCHE  BLANQUIAZUL  ZONA  OCCIDENTE  PALCO  PICHINCHA  SABEMOS  CUALES  CONDICIONES  SERIA  MALA  IDEA  SOEEN  ENTRADAS  PERIODICAMENTE  ABRAN  CUENTAS  BANCO  PIENSENLO  HTTPS  TCOYG9ODPYKKT;0.34;0.42000000000000004;CHORRILLOS
1089577526366597120;2019-01-27  17:35:00;BANCO  PICHINCHA;BANCOPICHINCHA;347803;4;EVITA  MULTAS  PAGANDO  TIEMPO  IMPUESTOS  ALCALDIAGYE  PUNTOS  MIVECINO  PUEDES  HACERLO  TAMBIEN  FIN  SEMANA  HTTPS  TCOYWWZDLRW3T;0.34;0.42000000000000004;ECUADOR
1089572728561168384;2019-01-27  17:15:56;PDLR;PADELOSREYES;732;0;TRAVES  BANCOPICHINCHA  AUSPICIABAN  TERRIBLE  COMENTARIO  INTERACCION  PERIODISTA  HTTPS  TCO3JGESTCQF6;0.34;0.42000000000000004;
1089571233279156231;2019-01-27  17:09:59;    BULLSHIT  CURATOR;ELJORAKA;2973;0;BONITO  MAS  UNE  HTTPS  TCO04HGAECAYD;0.34;0.42000000000000004;LIMA
1089569198483869696;2019-01-27  17:01:54;CARLOS;CARLOS59127384;14;491;HRUGEL  AHORA  SI  ESTADIO  MONUMENTAL  BANCOPICHINCHA  VA  REGRESANDO  NIVEL  SIEMPRE  DEBIO  TENER  HERMOSA;0.34;0.42000000000000004;AZOGUES,  ECUADOR
1089567988515262465;2019-01-27  16:57:06;EDU  FLORES;FLOEDU83;2279;1;PERU  ECUADOR  UNIDOS  FUTBOL  BUEN  MENSAJE  BANCOPICHINCHA  DEMOSTRAMOS  VEZ  FUTBOL  MAS  DEPOE  HTTPS  TCOKPMAVGAD8C;0.34;0.42000000000000004;LIMA  -  PERU
1089566610065670144;2019-01-27  16:51:37;TONY  MELGAREJO;TONYMELGAREJO;461;0;INFORMACION  CURA  HTTPS  TCOG0JCBFLSA4;0.34;0.42000000000000004;
1089559355836547075;2019-01-27  16:22:48;JUAN  CARLOS  CHICAIZA;78JUA;24;109;BANCOPICHINCHA  ABRE  CUENTA  LINEA  APENAS  MINUTOS  TEN  TIEMPO  COSAS  MAS  IMPOAN  NOSESTAMOSTRANSFORMAN;0.34;0.42000000000000004;ECUADOR
1089557338695049216;2019-01-27  16:14:47;DAVID  TORRES  C.;DAVOTC;6521;0;EMOTIVO  VIDEO  PADRE  ABUELO  GUERRA  BUENO  SABER  AHORA  RESPIRAMOS  PAZ  PAISES  HERMANOS  ASI  DEBEMOS  MANTENERNOS  ESMASLOQUENOSUNE  HTTPS  TCO0MLVWH1LG3;0.34;0.42000000000000004;ECUADOR
